"session","session_id","study_id","iteration","created","modified","ended","expired","consent_text_mandatory","Q2","Q4_oa","Q4_rdm","Q4_fair","Q4_code","Q4_material","Q4_prereg","Q4_rr","Q5_oa","Q5_rdm","Q5_fair","Q5_code","Q5_material","Q5_prereg","Q5_rr","Q6_oa","Q6_rdm","Q6_fair","Q6_code","Q6_material","Q6_prereg","Q6_rr","Q6_oa_comment","Q6_rdm_comment","Q6_fair_comment","Q6_code_comment","Q6_material_comment","Q6_prereg_comment","Q6_rr_comment","Q7_oa","Q7_rdm","Q7_fair","Q7_code","Q7_material","Q7_prereg","Q7_rr","Q7_oa_comment","Q7_rdm_comment","Q7_fair_comment","Q7_code_comment","Q7_material_comment","Q7_prereg_comment","Q7_rr_comment","Q10_oa","Q10_rdm","Q10_fair","Q10_ethics","Q10_privacy","Q10_code","Q10_material","Q10_license","Q10_prereg","Q10_other_1","Q10_other_2","Q10_other_3","Q11_online","Q11_colloquium","Q11_consulting","Q11_mentoring","Q11_network","Q11_other_1","Q11_other_2","Q11_other_3","Q8_nb_pub","Q8_IF","Q8_quality","Q8_author_role","Q8_citation","Q8_grant","Q8_impact","Q8_teaching","Q8_supervision","Q8_services","Q8_citizenship","Q8_awards","Q8_network","Q8_ORPs","Q8_other_1","Q8_other_2","Q8_other_3","Q9_nb_pub","Q9_IF","Q9_quality","Q9_author_role","Q9_citation","Q9_grant","Q9_impact","Q9_teaching","Q9_supervision","Q9_services","Q9_citizenship","Q9_awards","Q9_network","Q9_ORPs","Q9_other_1","Q9_other_2","Q9_other_3","Q13","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q10_recruitment"
"CBEetq8gX5KFn5V5QgZtFged4SF4QMy52_EfuXZEgkB2Xz7BdRLjyzzaE6nfjTnn","153984","592","71","2024-12-04 15:20:17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"k00U1aFVgoYqcRwKfKRMdYWpT72DgKwVtmSf2PtbIys-h1p7ULKvB_KcBy8jcwf_","153985","592","72","2024-12-04 15:20:17","2024-12-04 15:20:40","","","1","PhDStudent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ijwbpirCP2rWhuc34Eibhgx-Nc0itDNmE-u3R2WcmoY3hsUW_uo4-jlmliwfSqAz","153986","592","73","2024-12-04 15:21:00","2024-12-04 15:21:24","","","1","PostDocs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"j5FsfaU-5PENioraCX6p24tw-y89JCVWPFe6rG8ROJbWmx44rB-WJmWh-OJ3qSlO","154003","592","74","2024-12-04 15:53:16","2024-12-04 16:09:22","2024-12-04 16:09:22","","1","PostDocs","using","unsure","unsure","unsure","using","unsure","unsure","beneficial","beneficial","beneficial","beneficial","beneficial","beneficial","beneficial","incentives, policy, none","training, incentives, policy, unsure","incentives, policy, none","incentives, policy, none","incentives, policy, none","training, incentives, policy, unsure","training, incentives, policy, unsure","","","","","","","","no","no","no","no","no","no","no","","","","","","","","written","written","workshop","written","workshop","written","written","written","workshop","","","","useful","useful","useful","useful","useful","","","","considerably","considerably","slightly","considerably","considerably","considerably","unsure","unsure","unsure","unsure","unsure","considerably","moderately","none","","","","moderately","moderately","considerably","moderately","moderately","considerably","moderately","considerably","considerably","considerably","slightly","moderately","moderately","considerably","","","","no","","","","","","none_wanted"
"cdr_C0xGS6k7v0-Djy7340x3PShg6hFXmSwl4GXXxgkqkM84RFdCPZUXlpCZp5Wp","154062","592","75","2024-12-04 17:58:28","2024-12-04 17:58:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MHpETBb4qA9cDpGktxIRwt02sooU4siNVA_OxTIgCsgnRLuGy1xP2PqccgsokxAC","154104","592","76","2024-12-04 19:41:15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LcSzz2pOOwSEvtqLdDjLktsXZnk5Xe99YHtpjEp2LBj-2Suvy0VqXtepyStLVGgj","154105","592","77","2024-12-04 19:41:15","2024-12-04 19:42:54","","","1","PhDStudent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zx3dfpmym5PO1hKYesIeL-Eq2DPAUR9M0KxwQDxQ4rQQVPBMzQ1U6Rzn6v3w4pAi","154438","592","78","2024-12-05 08:41:16","2025-01-08 10:11:08","","","1","SupportStaff","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DN739s2ovhCeWmxyyiPtgkHV6qKFxsYk3_weLcMI5J7Bc1EbyUrekbCYyWDhRCti","154445","592","79","2024-12-05 08:52:33","2024-12-05 08:52:33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Th3aaeZOuSLmGOSS1nnjlb--O5tPWQ9FepUADhZeUU2BD5VLp4_2BlcMgj9A4Oy2","154449","592","80","2024-12-05 09:01:43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S8uyfBLtyGhnYBbuwKdvLjlu68mm-TwilBSoetBB-Q0vRPgsC-grK7VC-s5DYiFl","154450","592","81","2024-12-05 09:01:43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mgRqqdJt0-pKbmBc-85PCFZ0KlkDmO3OTZ3aWH3sOgr7lssMygvknHWEkl44j948","154484","592","82","2024-12-05 09:51:55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87k42JpXr8MJtNvv7DqnwLsRtragXuvHbyPKQnP07gcZBSG9ftRD85ZNfhiPAI1E","154485","592","83","2024-12-05 09:51:55","2024-12-05 13:50:18","2024-12-05 13:50:18","","1","PhDStudent","aware","aware","using","using","using","practicing","aware","beneficial","beneficial","beneficial","beneficial","beneficial","beneficial","beneficial","none","training","training","incentives","incentives","norms","norms","","","","","","","","no","no","no","no","no","no","no","","","","","","","","written","workshop","workshop","written","written","written","written","written","workshop","","","","useful","useful","useful","useful","useful","","","","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","unsure","","","","slightly","slightly","considerably","considerably","slightly","moderately","considerably","moderately","moderately","moderately","moderately","moderately","moderately","considerably","","","","maybe","","","","","","written"
"hyCHZnKlw5f5K2_Gl6l2vIdzv84n0MXUOtcqEK1IP_DoHK21AEc86HKV1faB27FW","154492","592","84","2024-12-05 10:08:28","2024-12-05 10:14:55","2024-12-05 10:14:55","","1","PIs","aware","aware","aware","practicing","practicing","aware","aware","neutral","neutral","neutral","beneficial","beneficial","neutral","beneficial","none","none","unsure","none","none","unsure","unsure","","","","","","","","","","","","","","","","","","","","","","written","written","unsure","written","workshop","workshop","workshop","workshop","unsure","","","","unsure","unsure","useless","useful","useful","","","","considerably","considerably","considerably","considerably","slightly","considerably","slightly","slightly","slightly","slightly","slightly","moderately","slightly","slightly","","","","considerably","considerably","considerably","considerably","moderately","considerably","moderately","considerably","considerably","moderately","slightly","slightly","moderately","moderately","","","","no","","","","","","unsure"
"XjDxTJ0pDPOAkzjmxBbcsma7zs68u-tpgYqCstrrNC-QORuc8_2roHHVZmNuR2TZ","154517","592","85","2024-12-05 11:05:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"oDtLHCgvKBLsfFBkuM1yE3_hIJ2d3IqVD8fSg97G2md-1qet8AHHKioqWU3PVSbf","154518","592","86","2024-12-05 11:05:02","2024-12-05 14:29:02","2024-12-05 14:29:02","","1","PhDStudent","aware","using","using","aware","using","using","aware","beneficial","beneficial","beneficial","beneficial","beneficial","neutral","neutral","none","none","none","unsure","none","none","none, unsure","","","","","","","","no","no","unsure","no","unsure","no","unsure","","","","","","","","written","written","written","workshop","written","written","written","written","written","","","","useful","useful","useful","useful","useful","","","","moderately","moderately","considerably","considerably","moderately","considerably","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","","","","considerably","moderately","considerably","moderately","slightly","considerably","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","","","","no","","","","","","written"
"A1NHnjHEVv2gYyTZdKNrHz_h923TqwStvipc93YVn045d4Zrk0eOzbK9Ko3KVMFE","154536","592","87","2024-12-05 11:45:31","2024-12-05 11:45:31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"toO-SYcUYBtQniWsld9zBF0LnRVFFYuWPKQAyT-IILPOr1z3Qz5MDm4pL1vXVXnp","154560","592","88","2024-12-05 12:09:52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"i7mKkDR_YbuFnLu7zYpNp5czNc2kalMmhduKwzqGsMQbSwUIHge81cGXCsw3kLO0","154561","592","89","2024-12-05 12:09:52","2024-12-05 12:25:08","2024-12-05 12:25:08","","1","PostDocs","aware","aware","practicing","aware","practicing","aware","unsure","neutral","beneficial","beneficial","beneficial","beneficial","unsure","unsure","policy","incentives","incentives","policy","policy","incentives","incentives","","","","","","","","unsure","no","no","no","no","no","no","","","","","","","","written","workshop","workshop","workshop","workshop","workshop","written","written","workshop","","","","useful","useful","essential","useful","useful","","","","considerably","considerably","considerably","considerably","considerably","considerably","considerably","considerably","considerably","moderately","considerably","considerably","considerably","unsure","","","","moderately","considerably","considerably","considerably","considerably","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","slightly","","","","no","","","","","","workshop"
"hatT8E5KgBHniNhjLfYo-qp2BUO5rGLhbNTXLcYWaCdtrkVA2xXFSR4YhcShZL-z","154578","592","90","2024-12-05 12:18:38","2024-12-05 12:28:55","2024-12-05 12:28:55","","1","PIs","practicing","unsure","using","practicing","aware","aware","na","beneficial","beneficial","beneficial","beneficial","unsure","neutral","na","none","infrastructure, training, norms, incentives, policy","training, policy","none","unsure","na","na","","","","","","","","no","no","no","no","no","na","na","","","","","","","","none_needed","workshop","written","workshop","workshop","workshop","written","written","na","","","","essential","useful","useful","useful","useful","","","","considerably","considerably","considerably","moderately","moderately","moderately","slightly","slightly","slightly","moderately","moderately","moderately","slightly","none","","","","moderately","moderately","considerably","considerably","moderately","moderately","slightly","moderately","slightly","slightly","moderately","slightly","moderately","moderately","","","","no","","","","","","written"
"mTUo6JvV3qUjh0GSSDlMyRzip-lN22omaapKSRXMVEfZdChSKy1L03-3vKHZZwZW","154600","592","91","2024-12-05 12:38:32","2025-01-13 13:01:30","","","1","SupportStaff","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FL33-Efs8I-QYOJsL4OqSXXqXW7XLrVvrSpg3_TmYCsy5rPrwr8atQCy_MQxBJU5","154653","592","92","2024-12-05 13:54:51","2024-12-05 13:54:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29UG4l20jV6jBppjuiphsayKitttSjHF9V-TGHn7kV7F2TA1ZMMMajGpr7y165fv","156794","592","93","2024-12-06 09:00:34","2024-12-06 09:00:34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eagTpmNoPdsb_u3_0opYBW6dXG0xjb7WwJ0tbyLhzCVwRt5Wds8lHv346kQL_Tuv","156829","592","94","2024-12-06 09:39:16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n9Y6-336TUIqz6KcU3rNEZCc__CH5-bW03ncB8atGrp7OtlW3fOL7OpWZmsFzHDU","156832","592","95","2024-12-06 09:44:46","2024-12-06 09:44:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LJ1WWlgrMVWE-NIPtv1QgAQh1Kox57nn9eR_qbbGweJLzdXmMMwd-CNs7-do0V_d","156921","592","96","2024-12-06 11:30:39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"grbGBuqDRAXZ71KLA9k6lcVH4I3ov1wFAV3WiTU6zMSybjGiSUOsonHnR0jjxDZ1","156925","592","97","2024-12-06 11:37:58","2024-12-06 11:54:44","2024-12-06 11:54:44","","1","PIs","aware","aware","using","aware","using","aware","aware","beneficial","beneficial","beneficial","beneficial","beneficial","beneficial","beneficial","training, incentives","training, incentives","training, incentives","training, incentives","training, incentives","training, incentives","training, incentives","","","","","","","","unsure","unsure","unsure","unsure","unsure","unsure","unsure","","","","","","","","workshop","workshop","workshop","written","written","written","written","written","workshop","","","","essential","essential","useful","useful","useful","","","","considerably","considerably","considerably","moderately","considerably","considerably","moderately","slightly","slightly","slightly","unsure","moderately","moderately","slightly","","","","considerably","moderately","considerably","considerably","considerably","moderately","moderately","moderately","considerably","considerably","none","moderately","moderately","slightly","","","","maybe","","","","","","none_wanted"
"e3HJsXDwd6YrjdQS2Vk31S1mANR9MfNTUNDMfT3NimlygarEN4QwE0vI2Xs818BO","156928","592","98","2024-12-06 11:43:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DQn1193sH4TtAdaciIKksaih3gttoF9qf-16_BP1hbO5BqC7BG2d5EMNiooEl6SO","156929","592","99","2024-12-06 11:43:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"aDcOmweCESTDdvYdF1X2btR87jS0AxpL9o_mG6vRZcu3BLFExamnSyWtubdLf_Ds","156930","592","100","2024-12-06 11:43:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1dUynREwTuRCpHs6w0Ivvkdkk9cdnuKCF7Yr1Jj0WLWlGxgQ8Hj4s_zeE92igEYD","156931","592","101","2024-12-06 11:43:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-IIqm1cEIAJJnDV4Ma0C-Vaw5VaHgHR-IhWSJDuVJ_mHEBPe-MEKxmuc-riD1qep","156932","592","102","2024-12-06 11:43:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"i2kSAX_nDX_r4-RKqpYkR5QLFSKC0BAArwt1E8xJ5QyeOc0LKEDe3G2fbhFAXhAD","156933","592","103","2024-12-06 11:43:12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dWul5DT4Is0Cj1ijpgdCjZDW6ZUtDT_vKtvnxlkQNDRnjrEwseSzDqo5aYcsFq5u","157036","592","104","2024-12-06 14:23:44","2024-12-06 14:23:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74lk73bGiAjQGqgY9O613OeLKVi6YYa_4YEDaYzVv5yXuxesW-J-CjiHwVjVrt0O","157100","592","105","2024-12-06 15:21:43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8oxgJJiEwGR9j3c3UfSk_WwZ7ZD3dm6hsZbfrAqGm3p6qZdxs7S-zdVi46MEfLir","157101","592","106","2024-12-06 15:21:43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"xalct1vYNPYbZPzTgX34aqdLuVHmqgJJotlKWUqupDkSvBXYSZPVvr4hJqZ4VxAL","157102","592","107","2024-12-06 15:21:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ga9-YDQ8th6LNV3rC0n8e22AUcYF0unyOJgUjXO3WrZynyv2-9tmgB4RNnZQbiNI","157103","592","108","2024-12-06 15:21:44","2024-12-06 15:22:25","","","1","PhDStudent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NFQLRlV_tbJGWpGD1XDrZ8t4syNqQ3gxciztio10c1g43eClq66eid1pQZ4YwkdL","157105","592","109","2024-12-06 15:22:24","2024-12-06 15:22:25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pPpxhzkMOtM8uS40YXKsDePV68lRrQ4lgyjzLbA84-7NWeUFHeGJWXLKtE-YoM1R","157119","592","110","2024-12-06 15:45:43","2024-12-06 15:45:43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lw7zhbOIHB8fwnhg5A2NcRWiM6xUxr-Dhf8q4Nul9WNk58BCP8b49fLzfv7eU9DF","157429","592","111","2024-12-06 19:49:33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hgFIskFjLnpiNbyHXEH23LnTCsuwPXCnfb5SzJBRBQQPfLIWqmy_maCAlQGtZX85","157775","592","112","2024-12-07 01:37:01","2024-12-07 01:37:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NByhUqHADpF2NTHBP1BQ4_7X1UJA75s41oZhRZtAixEI0yulyYlkrDQesN8rO0UK","157810","592","113","2024-12-07 02:49:32","2024-12-07 02:49:32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UTcapwQgDVWa4OPY5kXeIS9tzF42Omn_vr_yDDGhXT8tk7QdBcKGZIMTtx53Lhyf","157815","592","114","2024-12-07 02:59:32","2024-12-07 02:59:33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"baxAAYGhmzXrnYKTybH1ecxuu_d9YSDqRm-hispK6aJlcyiRCAM0UHcneQC7z3QU","159778","592","115","2024-12-09 11:45:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"yT4sE0fsQtP3YHDvYkYjCJCzCZE58UCczNZYRAmXBBXPW--p5Zw8-heT_DEO_zd1","159779","592","116","2024-12-09 11:45:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"azqH0ljz274CI6V6vugZArJXSUAZI5heCSlzVmdGDzC4OlaE5UCAUVOJTYnL7Oaa","159780","592","117","2024-12-09 11:46:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WpxjuczUTzVmn86QN8JQ8BThEwoiD8cUZulygzxoQOF5x6l0ggX0tzRbZJ_Aspn_","159781","592","118","2024-12-09 11:46:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lvIc2GvYASL8L0tcCGgXrW_6rvhlJKICG9gvmDAXhgasL5Kf4dqThbJyvAXrwzFi","159782","592","119","2024-12-09 11:46:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sxz0bKelE9LYSXGhLHEjUqUb1hSCXRlG2YKNuL7KvpPjB9h-vSbPSsx-p4wFX8mU","161314","592","120","2024-12-10 16:21:10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VtFx3oRi73N3EU1OT8XZE0BnnzcohFD9hCqSqR65TVHASMvUQW7nAVOcBG2tPj3M","162586","592","121","2024-12-11 15:59:30","2024-12-11 16:07:07","2024-12-11 16:07:07","","1","SupportStaff","aware","aware","aware","","","","","","beneficial","beneficial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","workshop","workshop","workshop","written","written","written","written","written","written","","","","useful","essential","essential","essential","essential","","","","","","","","","","","","","","","","","","","","","moderately","moderately","considerably","moderately","moderately","considerably","considerably","considerably","considerably","considerably","considerably","considerably","considerably","considerably","","","","no","","","","","","written"
"y3x7tCfGVYfIVuaN5YrYV9EL3lOuj_JOpvQM0gZybuw775Yl1-n8lojX2iCDBLnt","170715","592","122","2024-12-19 08:33:01","2024-12-19 08:33:01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hJKttvxpEnivN1j78VZkgT6I0GMY77LLrQLwi0AA4BosCTy6tcXjQbXo-XP8J02S","176882","592","123","2024-12-28 13:51:56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ZcjnEH6BMDO3bsUDpOJENFBI2o92nyVD1u6zi-DbXBsgF97-CgsFKASIzD_Uyj9","176883","592","124","2024-12-28 13:51:56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sMm8TKy1WviX_pq5jLGQB6jcqcU59FhZaskV8zsCNrvpMpN1xVLorw7DomDff2Q4","182760","592","125","2025-01-06 16:56:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"xWEqcLw9zEMwFN_PcG3yry7dLxsWc9TFVB3LUjXwl8q-E1FICRvTJJ8RLhaFjCE7","182761","592","126","2025-01-06 16:56:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RZQIosVKHCSAckWw33WVtf7_CLmZWakufjFJQgpwhU5H497Euw5llRM-beIxpptO","182797","592","127","2025-01-06 18:17:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UAnzPZRgEfA1czYPkdnktRD-3lGFZ3MLgs3QLtp6Spx1cTBB7bYMBgu1E2i6HOvi","184269","592","128","2025-01-08 10:03:32","2025-01-08 10:03:32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
